Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,CCAFS,Dragon Spacecraft Qualification Unit,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.0B0003.1,Success,4 June 2010,18:45
2,CCAFS,Dragon,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.0B0004.1,Success,8 December 2010,15:43
3,CCAFS,Dragon,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.0B0005.1,Success,22 May 2012,07:44
4,CCAFS,SpaceX CRS-1,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.0B0006.1,Success,8 October 2012,00:35
5,CCAFS,SpaceX CRS-2,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.0B0007.1,Success,1 March 2013,15:10
6,VAFB,CASSIOPE,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.1B1003,Success,29 September 2013,16:00
7,CCAFS,SES-8,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.1,Success,3 December 2013,22:41
8,CCAFS,Thaicom 6,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.1,Success,6 January 2014,22:06
9,Cape Canaveral,SpaceX CRS-3,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.1,Success,18 April 2014,19:25
10,Cape Canaveral,Orbcomm-OG2,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.1,Success,14 July 2014,15:15
11,Cape Canaveral,AsiaSat 8,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.1,Success,5 August 2014,08:00
12,Cape Canaveral,AsiaSat 6,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.1,Success,7 September 2014,05:00
13,Cape Canaveral,SpaceX CRS-4,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.1,Success,21 September 2014,05:52
14,Cape Canaveral,SpaceX CRS-5,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.1,Success,10 January 2015,09:47
15,Cape Canaveral,DSCOVR,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.1,Success,11 February 2015,23:03
16,Cape Canaveral,ABS-3A,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.1,Success,2 March 2015,03:50
17,Cape Canaveral,SpaceX CRS-6,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.1,Success,14 April 2015,20:10
18,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.1,Success,27 April 2015,23:03
19,Cape Canaveral,SpaceX CRS-7,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.1,Success,28 June 2015,14:21
20,Cape Canaveral,Orbcomm-OG2,"7,000 kg",GTO,Sirius XM,"Success
",F9 FT,Success,22 December 2015,01:29
21,VAFB,Jason-3,"7,000 kg",GTO,Sirius XM,"Success
",F9 v1.1,Success,17 January 2016,18:42
22,Cape Canaveral,SES-9,"7,000 kg",GTO,Sirius XM,"Success
",F9 FT,Success,4 March 2016,23:35
23,Cape Canaveral,SpaceX CRS-8,"7,000 kg",GTO,Sirius XM,"Success
",F9 FT,Success,8 April 2016,20:43
24,Cape Canaveral,JCSAT-14,"7,000 kg",GTO,Sirius XM,"Success
",F9 FT,Success,6 May 2016,05:21
25,Cape Canaveral,Thaicom 8,"7,000 kg",GTO,Sirius XM,"Success
",F9 FT,Success,27 May 2016,21:39
26,Cape Canaveral,ABS-2A,"7,000 kg",GTO,Sirius XM,"Success
",F9 FT,Success,15 June 2016,14:29
27,Cape Canaveral,SpaceX CRS-9,"7,000 kg",GTO,Sirius XM,"Success
",F9 FT,Success,18 July 2016,04:45
28,Cape Canaveral,JCSAT-16,"7,000 kg",GTO,Sirius XM,"Success
",F9 FT,Success,14 August 2016,05:26
29,VAFB,Iridium NEXT,"7,000 kg",GTO,Sirius XM,"Success
",F9 FT,Success,14 January 2017,17:54
30,KSC,SpaceX CRS-10,"7,000 kg",GTO,Sirius XM,"Success
",F9 FT,Success,19 February 2017,14:39
31,KSC,EchoStar 23,"7,000 kg",GTO,Sirius XM,"Success
",F9 FT,Success,16 March 2017,06:00
32,KSC,SES-10,"7,000 kg",GTO,Sirius XM,"Success
",F9 FT♺,Success,30 March 2017,22:27
33,KSC,NROL-76,"7,000 kg",GTO,Sirius XM,"Success
",F9 FT,Success,1 May 2017,11:15
34,KSC,Inmarsat-5 F4,"7,000 kg",GTO,Sirius XM,"Success
",F9 FT,Success,15 May 2017,23:21
35,KSC,SpaceX CRS-11,"7,000 kg",GTO,Sirius XM,"Success
",F9 FT,Success,3 June 2017,21:07
36,KSC,BulgariaSat-1,"7,000 kg",GTO,Sirius XM,"Success
",F9 FTB1029.2,Success,23 June 2017,19:10
37,VAFB,Iridium NEXT,"7,000 kg",GTO,Sirius XM,"Success
",F9 FT,Success,25 June 2017,20:25
38,KSC,Intelsat 35e,"7,000 kg",GTO,Sirius XM,"Success
",F9 FT,Success,5 July 2017,23:38
39,KSC,SpaceX CRS-12,"7,000 kg",GTO,Sirius XM,"Success
",F9 B4,Success,14 August 2017,16:31
40,VAFB,Formosat-5,"7,000 kg",GTO,Sirius XM,"Success
",F9 FT,Success,24 August 2017,18:51
41,KSC,Boeing X-37B,"7,000 kg",GTO,Sirius XM,"Success
",F9 B4,Success,7 September 2017,14:00
42,VAFB,Iridium NEXT,"7,000 kg",GTO,Sirius XM,"Success
",F9 B4,Success,9 October 2017,12:37
43,KSC,SES-11,"7,000 kg",GTO,Sirius XM,"Success
",F9 FTB1031.2,Success,11 October 2017,22:53:00
44,KSC,Koreasat 5A,"7,000 kg",GTO,Sirius XM,"Success
",F9 B4,Success,30 October 2017,19:34
45,Cape Canaveral,SpaceX CRS-13,"7,000 kg",GTO,Sirius XM,"Success
",F9 FTB1035.2,Success,15 December 2017,15:36
46,VAFB,Iridium NEXT,"7,000 kg",GTO,Sirius XM,"Success
",F9 FTB1036.2,Success,23 December 2017,01:27
47,CCAFS,Zuma,"7,000 kg",GTO,Sirius XM,"Success
",F9 B4,Success,8 January 2018,01:00
48,CCAFS,GovSat-1,"7,000 kg",GTO,Sirius XM,"Success
",F9 FTB1032.2,Success,31 January 2018,21:25
49,VAFB,Paz,"7,000 kg",GTO,Sirius XM,"Success
",F9 FTB1038.2,Success,22 February 2018,14:17
50,CCAFS,Hispasat 30W-6,"7,000 kg",GTO,Sirius XM,"Success
",F9 B4,Success,6 March 2018,05:33
51,VAFB,Iridium NEXT,"7,000 kg",GTO,Sirius XM,"Success
",F9 B4B1041.2,Success,30 March 2018,14:14
52,CCAFS,SpaceX CRS-14,"7,000 kg",GTO,Sirius XM,"Success
",F9 B4B1039.2,Success,2 April 2018,20:30
53,CCAFS,Transiting Exoplanet Survey Satellite,"7,000 kg",GTO,Sirius XM,"Success
",F9 B4,Success,18 April 2018,22:51
54,KSC,Bangabandhu-1,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5B1046.1,Success,11 May 2018,20:14
55,VAFB,Iridium NEXT,"7,000 kg",GTO,Sirius XM,"Success
",F9 B4B1043.2,Success,22 May 2018,19:47
56,CCAFS,SES-12,"7,000 kg",GTO,Sirius XM,"Success
",F9 B4B1040.2,Success,4 June 2018,04:45
57,CCAFS,SpaceX CRS-15,"7,000 kg",GTO,Sirius XM,"Success
",F9 B4B1045.2,Success,29 June 2018,09:42
58,CCAFS,Telstar 19V,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,22 July 2018,05:50
59,VAFB,Iridium NEXT,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5B1048,Success,25 July 2018,11:39
60,CCAFS,Merah Putih,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5B1046.2,Success,7 August 2018,05:18
61,CCAFS,Telstar 18V,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,10 September 2018,04:45
62,VAFB,SAOCOM 1A,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5B1048.2,Success,8 October 2018,02:22
63,KSC,Es'hail 2,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5B1047.2,Success,15 November 2018,20:46
64,VAFB,SSO-A,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5B1046.3,Success,3 December 2018,18:34:05
65,CCAFS,SpaceX CRS-16,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,5 December 2018,18:16
66,CCAFS,GPS III,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,23 December 2018,13:51
67,VAFB,Iridium NEXT,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5B1049.2,Success,11 January 2019,15:31
68,CCAFS,Nusantara Satu,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5B1048.3,Success,22 February 2019,01:45
69,KSC,Crew Dragon Demo-1,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5[268],Success,2 March 2019,07:49
70,CCAFS,SpaceX CRS-17,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,4 May 2019,06:48
71,CCAFS,Starlink,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5B1049.3,Success,24 May 2019,02:30
72,VAFB,RADARSAT Constellation,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5B1051.2,Success,12 June 2019,14:17
73,CCAFS,SpaceX CRS-18,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5B1056.2,Success,25 July 2019,22:01
74,CCAFS,AMOS-17,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5B1047.3,Success,6 August 2019,23:23
75,CCAFS,Starlink,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,11 November 2019,14:56
76,CCAFS,SpaceX CRS-19,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,5 December 2019,17:29
77,CCAFS,JCSat-18,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5B1056.3,Success,17 December 2019,00:10
78,CCAFS,Starlink,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,7 January 2020,02:19:21
79,KSC,Crew Dragon in-flight abort test,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,19 January 2020,15:30
80,CCAFS,Starlink,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,29 January 2020,14:07
81,CCAFS,Starlink,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,17 February 2020,15:05
82,CCAFS,SpaceX CRS-20,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,7 March 2020,04:50
83,KSC,Starlink,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,18 March 2020,12:16
84,KSC,Starlink,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,22 April 2020,19:30
85,KSC,Crew Dragon Demo-2,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,30 May 2020,19:22
86,CCAFS,Starlink,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,4 June 2020,01:25
87,CCAFS,Starlink,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,13 June 2020,09:21
88,CCAFS,GPS III,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,30 June 2020,20:10:46
89,CCAFS,ANASIS-II,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5B1058.2,Success,20 July 2020,21:30
90,KSC,Starlink,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,7 August 2020,05:12
91,CCAFS,Starlink,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5B1049.6,Success,18 August 2020,14:31
92,CCAFS,SAOCOM 1B,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,30 August 2020,23:18
93,KSC,Starlink,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5B1060.2,Success,3 September 2020,12:46:14
94,KSC,Starlink,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5B1058.3,Success,6 October 2020,11:29:34
95,KSC,Starlink,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5B1051.6,Success,18 October 2020,12:25:57
96,CCAFS,Starlink,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,24 October 2020,15:31:34
97,CCAFS,GPS III,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,5 November 2020,23:24:23
98,KSC,Crew-1,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,16 November 2020,00:27
99,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,21 November 2020,17:17:08
100,CCAFS,Starlink,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5 ♺,Success,25 November 2020,02:13
101,KSC,SpaceX CRS-21,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5 ♺,Success,6 December 2020,16:17:08
102,CCSFS,SXM-7,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5 ♺,Success,13 December 2020,17:30:00
103,KSC,NROL-108,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5 ♺,Success,19 December 2020,14:00:00
104,CCSFS,Türksat 5A,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,8 January 2021,02:15
105,KSC,Starlink,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5B1051.8,Success,20 January 2021,13:02
106,CCSFS,Transporter-1,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5B1058.5,Success,24 January 2021,15:00
107,CCSFS,Starlink,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5 ♺,Success,4 February 2021,06:19
108,CCSFS,Starlink,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5 ♺,Success,16 February 2021,03:59:37
109,KSC,Starlink,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5 ♺,Success,4 March 2021,08:24
110,CCSFS,Starlink,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5 ♺,Success,11 March 2021,08:13:29
111,KSC,Starlink,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5 ♺,Success,14 March 2021,10:01
112,CCSFS,Starlink,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5B1060.6,Success,24 March 2021,08:28
113,CCSFS,Starlink,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5 ♺,Success,7 April 2021,16:34
114,KSC,Crew-2,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5B1061.2,Success,23 April 2021,9:49
115,CCSFS,Starlink,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5B1060.7,Success,29 April 2021,03:44
116,KSC,Starlink,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5B1049.9,Success,4 May 2021,19:01
117,CCSFS,Starlink,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5B1051.10,Success,9 May 2021,06:42
118,KSC,Starlink,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5B1058.8,Success,15 May 2021,22:56
119,CCSFS,Starlink,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5B1063.2,Success,26 May 2021,18:59
120,KSC,SpaceX CRS-22,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5B1067.1,Success,3 June 2021,17:29
121,CCSFS,SXM-8,"7,000 kg",GTO,Sirius XM,"Success
",F9 B5,Success,6 June 2021,04:26
